code,type,factor,unit,name,table_no,table_name
querce3bdgls,mass,1000,mg,Quercetin-3-β-D-glucoside,10,POLYPHENOLS
querce3bdgls_e,mass,1000,mg,Quercetin-3-β-D-glucoside,10,POLYPHENOLS
querce3ortns,mass,1000,mg,Quercetin-3-O-rutinoside,10,POLYPHENOLS
querce3ortns_e,mass,1000,mg,Quercetin-3-O-rutinoside,10,POLYPHENOLS
querce3bgls,mass,1000,mg,Quercetin-3-β-galactoside,10,POLYPHENOLS
querce3bgls_e,mass,1000,mg,Quercetin-3-β-galactoside,10,POLYPHENOLS
isormt,mass,1000,mg,Isorhamnetin,10,POLYPHENOLS
isormt_e,mass,1000,mg,Isorhamnetin,10,POLYPHENOLS
myrct,mass,1000,mg,Myricetin,10,POLYPHENOLS
myrct_e,mass,1000,mg,Myricetin,10,POLYPHENOLS
rsvrtol,mass,1000000,ug,Resvertrol,10,POLYPHENOLS
rsvrtol_e,mass,1000000,ug,Resvertrol,10,POLYPHENOLS
hespt,mass,1000,mg,Hesperetin,10,POLYPHENOLS
hespt_e,mass,1000,mg,Hesperetin,10,POLYPHENOLS
narng,mass,1000,mg,Naringenin,10,POLYPHENOLS
narng_e,mass,1000,mg,Naringenin,10,POLYPHENOLS
hespd,mass,1000,mg,Hesperdin,10,POLYPHENOLS
hespd_e,mass,1000,mg,Hesperdin,10,POLYPHENOLS
daidzn,mass,1000,mg,Daidzein,10,POLYPHENOLS
daidzn_e,mass,1000,mg,Daidzein,10,POLYPHENOLS
gnstein,mass,1000,mg,Genistein,10,POLYPHENOLS
gnstein_e,mass,1000,mg,Genistein,10,POLYPHENOLS
epicatec,mass,1000,mg,(-)-Epicatechin,10,POLYPHENOLS
epicatec_e,mass,1000,mg,(-)-Epicatechin,10,POLYPHENOLS
epicategc,mass,1000000,ug,(-)-Epigallo catechin,10,POLYPHENOLS
epicategc_e,mass,1000000,ug,(-)-Epigallo catechin,10,POLYPHENOLS
epicatgc3gal,mass,1000000,ug,(-)-Epigallo catechin 3-gallate,10,POLYPHENOLS
epicatgc3gal_e,mass,1000000,ug,(-)-Epigallo catechin 3-gallate,10,POLYPHENOLS
catec,mass,1000,mg,(+)-Catechin,10,POLYPHENOLS
catec_e,mass,1000,mg,(+)-Catechin,10,POLYPHENOLS
galcatecgal,mass,1000000,ug,(-)-Gallocatechin gallate,10,POLYPHENOLS
galcatecgal_e,mass,1000000,ug,(-)-Gallocatechin gallate,10,POLYPHENOLS
galcatec,mass,1000000,ug,(-)-Gallocatechin,10,POLYPHENOLS
galcatec_e,mass,1000000,ug,(-)-Gallocatechin,10,POLYPHENOLS
syrgac,mass,1000,mg,Syringic acid,10,POLYPHENOLS
syrgac_e,mass,1000,mg,Syringic acid,10,POLYPHENOLS
sinpac,mass,1000,mg,Sinapinic acid,10,POLYPHENOLS
sinpac_e,mass,1000,mg,Sinapinic acid,10,POLYPHENOLS
ellgac,mass,1000,mg,Ellagic acid,10,POLYPHENOLS
ellgac_e,mass,1000,mg,Ellagic acid,10,POLYPHENOLS
rafs,mass,1000,mg,Raffinose,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
rafs_e,mass,1000,mg,Raffinose,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
stas,mass,1000,mg,Stachyose,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
stas_e,mass,1000,mg,Stachyose,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
vers,mass,1000,mg,Verbascose,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
vers_e,mass,1000,mg,Verbascose,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
ajgs,mass,1000,mg,Ajugose,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
ajgs_e,mass,1000,mg,Ajugose,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
camt,mass,1000,mg,Campesterol,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
camt_e,mass,1000,mg,Campesterol,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
stgstr,mass,1000,mg,Stigmasterol,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
stgstr_e,mass,1000,mg,Stigmasterol,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
stostrb,mass,1000,mg,β-Sitosterol,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
stostrb_e,mass,1000,mg,β-Sitosterol,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
carot,mass,1000000,ug,Carotenes,4,CAROTENOIDS
carot_e,mass,1000000,ug,Carotenes,4,CAROTENOIDS
xantp,mass,1000000,ug,Xanthophylls,4,CAROTENOIDS
xantp_e,mass,1000000,ug,Xanthophylls,4,CAROTENOIDS
cartbeq,mass,1000000,ug,β-Carotene equivalents,4,CAROTENOIDS
cartbeq_e,mass,1000000,ug,β-Carotene equivalents,4,CAROTENOIDS
